Sample,Pose
0,4.47
1,4.47
2,4.47
3,4.47
4,4.47
5,4.47
6,4.47
7,4.48
8,4.47
9,4.47
10,4.47
11,4.47
12,4.48
13,4.48
14,4.48
15,4.48
16,4.48
17,4.48
18,4.48
19,4.47
20,4.47
21,4.47
22,4.47
23,4.47
24,4.47
25,4.47
26,4.47
27,4.47
28,4.47
29,4.47
30,4.47
31,4.47
32,4.47
33,4.47
34,4.47
35,4.47
36,4.47
37,4.47
38,4.47
39,4.46
40,4.46
41,4.46
42,4.46
43,4.46
44,4.46
45,4.46
46,4.46
47,4.47
48,4.46
49,4.47
50,4.47
51,4.47
52,4.47
53,4.47
54,4.47
55,4.47
56,4.47
57,4.47
58,4.47
59,4.48
60,4.47
61,4.47
62,4.47
63,4.47
64,4.47
65,4.47
66,4.47
67,4.47
68,4.47
69,4.47
70,4.47
71,4.47
72,4.47
73,4.46
74,4.47
75,4.47
76,4.47
77,4.47
78,4.47
79,4.47
80,4.47
81,4.47
82,4.47
83,4.47
84,4.47
85,4.47
86,4.46
87,4.47
88,4.46
89,4.46
90,4.46
91,4.46
92,4.47
93,4.47
94,4.47
95,4.47
96,4.47
97,4.47
98,4.47
99,4.47
100,4.47
101,4.47
102,4.47
103,4.47
104,4.47
105,4.47
106,4.48
107,4.47
108,4.47
109,4.47
110,4.48
111,4.47
112,4.47
113,4.47
114,4.47
115,4.47
116,4.47
117,4.47
118,4.47
119,4.47
120,4.47
121,4.47
122,4.47
123,4.46
124,4.47
125,4.46
126,4.47
127,4.47
128,4.47
129,4.46
130,4.47
131,4.47
132,4.47
133,4.47
134,4.47
135,4.47
136,4.47
137,4.47
138,4.47
139,4.47
140,4.47
141,4.47
142,4.47
143,4.47
144,4.47
145,4.47
146,4.48
147,4.47
148,4.47
149,4.47
150,4.48
151,4.48
152,4.48
153,4.47
154,4.47
155,4.48
156,4.47
157,4.47
158,4.47
159,4.47
160,4.47
161,4.47
162,4.47
163,4.47
164,4.47
165,4.47
166,4.47
167,4.46
168,4.46
169,4.47
170,4.47
171,4.47
172,4.47
173,4.47
174,4.47
175,4.47
176,4.47
177,4.47
178,4.47
179,4.47
180,4.47
181,4.47
182,4.47
183,4.46
184,4.47
185,4.47
186,4.47
187,4.47
188,4.47
189,4.47
190,4.47
191,4.47
192,4.48
193,4.47
194,4.47
195,4.47
196,4.48
197,4.48
198,4.48
199,4.47
200,4.47
201,4.48
202,4.48
203,4.48
204,4.47
205,4.48
206,4.48
207,4.48
208,4.47
209,4.47
210,4.47
211,4.47
212,4.47
213,4.47
214,4.47
215,4.47
216,4.47
217,4.47
218,4.47
219,4.46
220,4.47
221,4.47
222,4.47
223,4.47
224,4.47
225,4.47
226,4.47
227,4.47
228,4.47
229,4.47
230,4.47
231,4.47
232,4.47
233,2.24
234,2.24
235,2.24
236,2.25
237,2.25
238,2.24
239,2.25
240,2.24
241,2.24
242,2.25
243,2.25
244,2.24
245,2.25
246,2.25
247,2.24
248,2.24
249,2.24
250,2.24
251,2.24
252,2.24
253,2.24
254,2.24
255,2.24
256,2.24
257,2.24
258,2.24
259,2.24
260,2.23
261,2.23
262,2.24
263,2.24
264,2.24
265,2.24
266,2.24
267,2.24
268,2.24
269,2.24
270,2.24
271,2.24
272,2.24
273,2.24
274,2.24
275,2.24
276,2.24
277,2.24
278,2.24
279,2.24
280,2.25
281,2.24
282,2.25
283,2.24
284,2.25
285,2.25
286,2.24
287,2.25
288,2.25
289,2.24
290,2.24
291,2.25
292,2.24
293,2.24
294,2.24
295,2.24
296,2.24
297,2.24
298,2.24
299,2.24
300,2.24
301,2.24
302,2.24
303,2.24
304,2.24
305,2.24
306,2.24
307,2.24
308,2.24
309,2.24
310,2.24
311,2.24
312,2.24
313,2.24
314,2.24
315,2.24
316,2.24
317,2.25
318,2.24
319,2.24
320,2.25
321,2.24
322,2.24
323,2.25
324,2.25
325,2.25
326,2.25
327,2.25
328,2.25
329,2.25
330,2.25
331,2.25
332,2.24
333,2.24
334,2.25
335,2.24
336,2.24
337,2.24
338,2.24
339,2.24
340,2.24
341,2.24
342,2.24
343,2.24
344,2.24
345,2.24
346,2.24
347,2.24
348,2.24
349,2.24
350,2.23
351,2.24
352,2.24
353,2.24
354,2.24
355,2.24
356,2.24
357,2.24
358,2.24
359,2.24
360,2.24
361,2.24
362,2.24
363,2.25
364,2.25
365,2.24
366,2.24
367,2.24
368,2.24
369,2.24
370,2.24
371,2.24
372,2.24
373,2.24
374,2.25
375,2.24
376,2.24
377,2.24
378,2.24
379,2.24
380,2.24
381,2.24
382,2.24
383,2.24
384,2.24
385,2.24
386,2.24
387,2.24
388,2.24
389,2.24
390,2.24
391,2.24
392,2.24
393,2.24
394,2.24
395,2.24
396,2.24
397,2.25
398,2.24
399,2.24
400,2.25
401,2.24
402,2.25
403,2.24
404,2.24
405,2.24
406,2.24
407,2.25
408,2.24
409,2.24
410,2.24
411,2.24
412,2.24
413,2.25
414,2.24
415,2.24
416,2.24
417,2.24
418,2.24
419,2.24
420,2.24
421,2.24
