Sample,Courant,Pose
0,0.68,5.52
1,0.68,5.52
2,0.68,5.52
3,0.69,5.52
4,0.69,5.52
5,0.68,5.52
6,0.68,5.52
7,0.68,5.52
8,0.68,5.52
9,0.68,5.52
10,0.68,5.52
11,0.68,5.52
12,0.68,5.52
13,0.68,5.52
14,0.69,5.52
15,0.68,5.53
16,0.68,5.53
17,0.68,5.53
18,0.69,5.53
19,0.68,5.53
20,0.68,5.54
21,0.68,5.54
22,0.69,5.54
23,0.69,5.54
24,0.69,5.54
25,0.68,5.55
26,0.68,5.55
27,0.69,5.55
28,0.68,5.55
29,0.69,5.55
30,0.69,5.55
31,0.69,5.55
32,0.69,5.55
33,0.69,5.55
34,0.69,5.55
35,0.69,5.55
36,0.69,5.55
37,0.69,5.55
38,0.69,5.55
39,0.69,5.56
40,0.69,5.56
41,0.69,5.55
42,0.69,5.55
43,0.69,5.55
44,0.69,5.55
45,0.69,5.55
46,0.69,5.55
47,0.69,5.55
48,0.69,5.55
49,0.69,5.55
50,0.69,5.55
51,0.69,5.55
52,0.69,5.55
53,0.69,5.55
54,0.69,5.55
55,0.69,5.55
56,0.69,5.55
57,0.69,5.55
58,0.69,5.55
59,0.69,5.55
60,0.69,5.55
61,0.69,5.55
62,0.69,5.55
63,0.69,5.55
64,0.69,5.55
65,0.69,5.55
66,0.69,5.56
67,0.69,5.56
68,0.69,5.56
69,0.69,5.56
70,0.69,5.56
71,0.69,5.57
72,0.69,5.57
73,0.7,5.57
74,0.69,5.57
75,0.69,5.57
76,0.69,5.58
77,0.69,5.58
78,0.69,5.58
79,0.69,5.58
80,0.69,5.58
81,0.69,5.58
82,0.69,5.58
83,0.69,5.58
84,0.69,5.58
85,0.69,5.58
86,0.69,5.58
87,0.7,5.58
88,0.69,5.58
89,0.69,5.58
90,0.7,5.58
91,0.7,5.58
92,0.69,5.57
93,0.7,5.57
94,0.7,5.57
95,0.69,5.57
96,0.7,5.57
97,0.69,5.57
98,0.7,5.57
99,0.7,5.57
100,0.7,5.57
101,0.7,5.57
102,0.7,5.57
103,0.7,5.57
104,0.7,5.57
105,0.7,5.57
106,0.7,5.57
107,0.7,5.57
108,0.7,5.57
109,0.7,5.57
110,0.71,5.58
111,0.7,5.58
112,0.7,5.58
113,0.7,5.58
114,0.7,5.58
115,0.7,5.58
116,0.7,5.59
117,0.7,5.59
118,0.7,5.59
119,0.7,5.59
120,0.7,5.6
121,0.71,5.6
122,0.71,5.6
123,0.7,5.6
124,0.7,5.6
125,0.71,5.6
126,0.7,5.6
127,0.71,5.6
128,0.71,5.6
129,0.7,5.6
130,0.71,5.6
131,0.71,5.6
132,0.71,5.6
133,0.71,5.6
134,0.71,5.6
135,0.71,5.6
136,0.71,5.6
137,0.71,5.6
138,0.71,5.59
139,0.71,5.59
140,0.71,5.59
141,0.71,5.59
142,0.71,5.59
143,0.71,5.59
144,0.71,5.59
145,0.71,5.59
146,0.71,5.59
147,0.71,5.59
148,0.71,5.59
149,0.71,5.59
150,0.71,5.59
151,0.71,5.59
152,0.71,5.59
153,0.71,5.6
154,0.71,5.6
155,0.71,5.6
156,0.71,5.6
157,0.71,5.6
158,0.71,5.6
159,0.71,5.6
160,0.71,5.61
161,0.71,5.61
162,0.71,5.61
163,0.71,5.61
164,0.71,5.61
165,0.71,5.61
166,0.71,5.62
167,0.71,5.62
168,0.71,5.62
169,0.71,5.62
170,0.71,5.62
171,0.71,5.62
172,0.71,5.62
173,0.71,5.62
174,0.71,5.62
175,0.71,5.63
176,0.71,5.63
177,0.71,5.63
178,0.71,5.63
179,0.71,5.63
180,0.71,5.63
181,0.71,5.63
182,0.71,5.63
183,0.71,5.62
184,0.71,5.62
185,0.71,5.62
186,0.71,5.62
187,0.71,5.62
188,0.71,5.62
189,0.71,5.62
190,0.71,5.62
191,0.71,5.62
192,0.71,5.62
193,0.71,5.62
194,0.71,5.61
195,0.71,5.62
196,0.71,5.62
197,0.72,5.62
198,0.72,5.62
199,0.71,5.62
200,0.72,5.62
201,0.71,5.62
202,0.72,5.62
203,0.71,5.62
204,0.72,5.62
205,0.72,5.63
206,0.72,5.63
207,0.72,5.63
208,0.71,5.63
209,0.72,5.64
210,0.72,5.64
211,0.72,5.64
212,0.72,5.64
213,0.71,5.65
214,0.72,5.65
215,0.72,5.65
216,0.71,5.65
217,0.72,5.65
218,0.72,5.65
219,0.72,5.65
220,0.72,5.66
221,0.72,5.66
222,0.72,5.66
223,0.72,5.66
224,0.72,5.65
225,0.72,5.65
226,0.72,5.65
227,0.72,5.65
228,0.72,5.65
229,0.72,5.65
230,0.72,5.65
231,0.72,5.65
232,0.73,5.65
233,0.73,5.65
234,0.73,5.64
235,0.72,5.64
236,0.72,5.64
237,0.72,5.64
238,0.72,5.64
239,0.73,5.64
240,0.73,5.64
241,0.72,5.64
242,0.73,5.64
243,0.73,5.64
244,0.72,5.64
245,0.72,5.65
246,0.72,5.65
247,0.72,5.65
248,0.73,5.65
249,0.72,5.65
250,0.72,5.65
251,0.73,5.66
252,0.73,5.66
253,0.73,5.66
254,0.73,5.66
255,0.73,5.66
256,0.73,5.66
257,0.73,5.67
258,0.73,5.67
259,0.73,5.67
260,0.73,5.67
261,0.73,5.68
262,0.73,5.68
263,0.73,5.68
264,1.31,0.99
265,1.31,0.99
266,1.31,0.99
267,1.31,0.99
268,1.31,0.99
269,1.31,0.99
270,1.31,0.99
271,1.32,0.99
272,1.32,0.99
273,1.33,0.99
274,1.32,0.99
275,1.32,0.99
276,1.32,0.99
277,1.33,0.99
278,1.33,0.99
279,1.33,0.99
280,1.33,0.99
281,1.33,0.99
282,1.33,0.99
283,1.33,0.99
284,1.34,0.99
285,1.34,0.99
286,1.34,0.99
287,1.34,0.99
288,1.34,0.99
289,1.34,0.99
290,1.34,0.99
291,1.35,0.99
292,1.35,0.99
293,1.35,0.99
294,1.35,0.99
295,1.35,0.99
296,1.35,0.99
297,1.35,0.99
298,1.35,0.99
299,1.36,0.99
300,1.36,0.99
301,1.36,0.99
302,1.36,0.99
303,1.37,0.99
304,1.37,0.99
305,1.37,0.99
306,1.37,0.99
307,1.37,0.99
308,1.37,0.99
309,1.37,0.99
310,1.37,0.99
311,1.38,0.99
312,1.38,0.99
313,1.38,0.99
314,1.38,0.99
315,1.38,0.99
316,1.38,0.99
317,1.38,0.99
318,1.38,0.99
319,1.39,0.99
320,1.38,0.99
321,1.39,0.99
322,1.39,0.99
323,1.39,0.99
324,1.4,0.99
325,1.4,0.99
326,1.4,0.99
327,1.4,0.99
328,1.4,0.99
329,1.4,0.99
330,1.4,0.99
331,1.4,0.99
332,1.4,0.99
333,1.4,0.99
334,1.41,0.99
335,1.41,0.99
336,1.42,0.99
337,1.42,0.99
338,1.42,0.99
339,1.42,0.99
340,1.42,0.99
341,1.42,0.99
342,1.42,0.99
343,1.42,0.99
344,1.42,0.99
345,1.42,0.99
346,1.43,0.99
347,1.43,0.99
348,1.43,0.99
349,1.43,0.99
350,1.43,0.99
351,1.44,0.99
352,1.43,0.99
353,1.44,0.99
354,1.44,0.99
355,1.44,0.99
356,1.44,0.99
357,1.44,0.99
358,1.45,0.99
359,1.44,0.99
360,1.44,0.99
361,1.45,0.99
362,1.45,0.99
363,1.45,0.99
364,1.46,0.99
365,1.46,0.99
366,1.46,0.99
367,1.46,0.99
368,1.46,0.99
369,1.46,0.99
370,1.46,0.99
371,1.46,0.99
372,1.46,0.99
373,1.47,0.99
374,1.47,0.99
375,1.47,0.99
376,1.48,0.99
377,1.48,0.99
378,1.48,0.99
379,1.48,0.99
380,1.48,0.99
381,1.48,0.99
382,1.48,0.99
383,1.48,0.99
384,1.49,0.99
385,1.49,0.99
386,1.49,0.99
387,1.5,0.99
