Sample,Pose,Courant
0,0.03,-3.33
1,0.06,-1.74
2,0.09,-1.69
3,0.12,-1.63
4,0.15,-1.53
5,0.18,-1.44
6,0.2,-1.35
7,0.23,-1.23
8,0.26,-1.14
9,0.28,-1.05
10,0.31,-0.97
11,0.33,-0.89
12,0.35,-0.82
13,0.37,-0.75
14,0.4,-0.7
15,0.42,-0.65
16,0.44,-0.6
17,0.47,-0.54
18,0.49,-0.51
19,0.53,-0.47
20,0.56,-0.44
21,0.6,-0.41
22,0.65,-0.38
23,0.71,-0.36
24,0.77,-0.34
25,0.83,-0.32
26,0.91,-0.3
27,0.99,-0.28
28,1.07,-0.26
29,1.16,-0.25
30,1.26,-0.24
31,1.36,-0.22
32,1.47,-0.22
33,1.57,-0.21
34,1.68,-0.2
35,1.79,-0.18
36,1.91,-0.17
37,2.02,-0.16
38,2.13,-0.15
39,2.24,-0.15
40,2.35,-0.14
41,2.45,-0.13
42,2.55,-0.12
43,2.65,-0.13
44,2.74,-0.11
45,2.82,-0.11
46,2.9,-0.11
47,2.97,-0.1
48,3.03,-0.1
49,3.08,-0.1
50,3.13,-0.1
51,3.16,-0.1
52,3.19,-0.09
53,3.21,-0.1
54,3.23,-0.1
55,3.23,-0.1
56,3.23,-0.1
57,3.23,-0.11
58,3.22,-0.11
59,3.21,-0.11
60,3.19,-0.12
61,3.18,-0.12
62,3.17,-0.13
63,3.15,-0.13
64,3.14,-0.13
65,3.14,-0.13
66,3.13,-0.13
67,3.13,-0.14
68,3.14,-0.14
69,3.15,-0.14
70,3.17,-0.14
71,3.2,-0.14
72,3.23,-0.14
73,3.27,-0.13
74,3.31,-0.14
75,3.35,-0.13
76,3.41,-0.13
77,3.46,-0.13
78,3.53,-0.13
79,3.59,-0.12
80,3.66,-0.12
81,3.73,-0.12
82,3.8,-0.11
83,3.87,-0.11
84,3.94,-0.1
85,4.0,-0.1
86,4.07,-0.09
87,4.14,-0.09
88,4.2,-0.09
89,4.25,-0.08
90,4.31,-0.08
91,4.35,-0.08
92,4.39,-0.08
93,4.43,-0.07
94,4.46,-0.07
95,4.48,-0.07
96,4.5,-0.08
97,4.5,-0.07
98,4.5,-0.08
99,4.5,-0.08
100,4.49,-0.08
101,4.47,-0.09
102,4.45,-0.09
103,4.42,-0.09
104,4.4,-0.09
105,4.37,-0.1
106,4.34,-0.1
107,4.3,-0.11
108,4.27,-0.11
109,4.25,-0.11
110,4.22,-0.11
111,4.2,-0.12
112,4.18,-0.12
113,4.17,-0.12
114,4.16,-0.13
115,4.15,-0.13
116,4.15,-0.13
117,4.16,-0.12
118,4.18,-0.12
119,4.2,-0.13
120,4.22,-0.13
121,4.25,-0.12
122,4.29,-0.12
123,4.32,-0.11
124,4.37,-0.11
125,4.41,-0.11
126,4.46,-0.11
127,4.51,-0.11
128,4.56,-0.1
129,4.61,-0.09
130,4.66,-0.09
131,4.71,-0.09
132,4.76,-0.09
133,4.8,-0.08
134,4.85,-0.08
135,4.88,-0.08
136,4.92,-0.07
137,4.95,-0.07
138,4.98,-0.07
139,5.0,-0.07
140,5.01,-0.07
141,5.02,-0.07
142,5.02,-0.07
143,5.02,-0.07
144,5.01,-0.07
145,4.99,-0.07
146,4.98,-0.07
147,4.95,-0.08
148,4.92,-0.09
149,4.89,-0.09
150,4.86,-0.09
151,4.83,-0.09
152,4.79,-0.09
153,4.76,-0.1
154,4.72,-0.1
155,4.69,-0.11
156,4.66,-0.1
157,4.64,-0.11
158,4.62,-0.11
159,4.6,-0.11
160,4.59,-0.11
161,4.58,-0.11
162,4.58,-0.11
163,4.58,-0.11
164,4.59,-0.11
165,4.6,-0.11
166,4.62,-0.11
167,4.64,-0.11
168,4.67,-0.11
169,4.7,-0.11
170,4.73,-0.11
171,4.77,-0.1
172,4.8,-0.1
173,4.84,-0.09
174,4.88,-0.09
175,4.92,-0.09
176,4.97,-0.09
177,5.0,-0.09
178,5.04,-0.08
179,5.08,-0.08
180,5.11,-0.07
181,5.14,-0.07
182,5.17,-0.07
183,5.19,-0.07
184,5.21,-0.07
185,5.22,-0.07
186,5.23,-0.07
187,5.23,-0.07
188,5.23,-0.07
189,5.22,-0.07
190,5.21,-0.07
191,5.19,-0.07
192,5.17,-0.07
193,5.14,-0.07
194,5.12,-0.08
195,5.09,-0.07
196,5.05,-0.08
197,5.02,-0.09
198,4.99,-0.09
199,4.95,-0.09
200,4.92,-0.09
201,4.89,-0.1
202,4.87,-0.1
203,4.84,-0.1
204,4.82,-0.11
205,4.8,-0.1
206,4.79,-0.11
207,4.78,-0.11
208,4.78,-0.11
209,4.78,-0.11
210,4.79,-0.11
211,4.8,-0.11
212,4.81,-0.11
213,4.83,-0.11
214,4.86,-0.1
215,4.88,-0.1
216,4.91,-0.1
217,4.94,-0.09
218,4.97,-0.09
219,5.01,-0.09
220,5.04,-0.09
221,5.08,-0.08
222,5.11,-0.08
223,5.14,-0.07
224,5.17,-0.07
225,5.2,-0.07
226,5.23,-0.07
227,5.25,-0.07
228,5.27,-0.07
229,5.29,-0.06
230,5.3,-0.06
231,5.31,-0.06
232,5.32,-0.06
233,5.32,-0.06
234,5.31,-0.07
235,5.3,-0.06
236,5.29,-0.07
237,5.27,-0.07
238,5.25,-0.07
239,5.23,-0.07
240,5.2,-0.07
241,5.17,-0.08
242,5.14,-0.07
243,5.11,-0.08
244,5.08,-0.08
245,5.05,-0.08
246,5.02,-0.09
247,5.0,-0.09
248,4.97,-0.09
249,4.95,-0.09
250,4.93,-0.1
251,4.92,-0.09
252,4.91,-0.1
253,5.39,-0.03
254,5.39,-0.03
255,5.39,-0.02
256,5.39,-0.02
257,5.39,-0.02
258,5.39,-0.02
259,5.39,-0.03
260,5.39,-0.02
261,5.39,-0.02
262,5.39,-0.02
263,5.39,-0.03
264,5.39,-0.03
265,5.39,-0.03
266,5.39,-0.03
267,5.39,-0.02
268,5.39,-0.02
269,5.39,-0.03
270,5.39,-0.02
271,5.39,-0.03
272,5.39,-0.02
273,5.39,-0.02
274,5.39,-0.02
275,5.39,-0.03
276,5.39,-0.02
277,5.39,-0.03
278,5.39,-0.02
279,5.39,-0.02
280,5.39,-0.03
281,5.39,-0.02
282,5.39,-0.02
283,5.39,-0.03
284,5.39,-0.03
285,5.39,-0.02
286,5.39,-0.02
287,5.39,-0.02
288,5.39,-0.03
289,5.39,-0.02
290,5.39,-0.02
291,5.39,-0.02
292,5.39,-0.02
293,5.39,-0.02
294,5.39,-0.03
295,5.39,-0.03
296,5.39,-0.02
297,5.39,-0.02
298,5.39,-0.02
299,5.39,-0.02
300,5.39,-0.02
301,5.39,-0.03
302,5.39,-0.02
303,5.39,-0.02
304,5.39,-0.02
305,5.39,-0.02
306,5.39,-0.02
307,5.39,-0.02
308,5.39,-0.02
309,5.39,-0.02
310,5.39,-0.02
311,5.39,-0.02
312,5.39,-0.03
313,5.39,-0.02
314,5.39,-0.02
315,5.39,-0.02
316,5.39,-0.02
317,5.39,-0.02
318,5.39,-0.02
319,5.39,-0.02
320,5.39,-0.02
321,5.39,-0.02
322,5.39,-0.02
323,5.39,-0.02
324,5.39,-0.02
325,5.39,-0.02
326,5.39,-0.03
327,5.39,-0.02
328,5.39,-0.03
329,5.39,-0.02
330,5.39,-0.02
331,5.39,-0.02
332,5.39,-0.02
333,5.39,-0.02
334,5.39,-0.02
335,5.4,-0.02
336,5.4,-0.02
337,5.4,-0.02
338,5.4,-0.03
339,5.4,-0.02
340,5.4,-0.02
341,5.4,-0.02
342,5.4,-0.02
343,5.4,-0.03
344,5.4,-0.02
345,5.4,-0.03
346,5.4,-0.03
347,5.4,-0.02
348,5.4,-0.02
349,5.4,-0.02
350,5.4,-0.03
351,5.4,-0.03
352,5.4,-0.03
353,5.4,-0.02
354,5.4,-0.02
355,5.4,-0.03
356,5.4,-0.02
357,5.4,-0.02
358,5.4,-0.02
359,5.4,-0.03
360,5.4,-0.02
361,5.4,-0.02
362,5.4,-0.02
363,5.4,-0.02
364,5.4,-0.03
365,5.4,-0.02
366,5.4,-0.02
367,5.4,-0.02
368,5.4,-0.02
369,5.4,-0.02
370,5.4,-0.02
371,5.4,-0.03
372,5.4,-0.02
373,5.4,-0.02
374,5.4,-0.02
375,5.4,-0.03
376,5.4,-0.03
377,5.4,-0.02
378,5.4,-0.02
379,5.4,-0.02
380,5.4,-0.02
381,5.4,-0.02
382,5.4,-0.02
383,5.4,-0.02
384,5.4,-0.02
385,5.4,-0.02
386,5.4,-0.02
387,5.4,-0.03
388,5.4,-0.03
389,5.4,-0.02
390,5.4,-0.02
391,5.4,-0.02
392,5.4,-0.02
393,5.4,-0.03
394,5.4,-0.02
395,5.4,-0.02
396,5.4,-0.02
397,5.4,-0.02
398,5.4,-0.02
399,5.4,-0.02
400,5.4,-0.02
401,5.4,-0.02
402,5.4,-0.02
403,5.4,-0.02
404,5.4,-0.02
405,5.4,-0.02
406,5.4,-0.02
407,5.4,-0.03
408,5.4,-0.02
409,5.4,-0.02
410,5.4,-0.02
411,5.4,-0.02
412,5.4,-0.02
413,5.4,-0.02
414,5.4,-0.02
415,5.4,-0.02
416,5.4,-0.02
417,5.4,-0.02
418,5.4,-0.02
419,5.4,-0.02
420,5.4,-0.02
421,5.4,-0.02
422,5.4,-0.02
423,5.4,-0.02
424,5.4,-0.02
425,5.4,-0.02
426,5.4,-0.02
427,5.4,-0.02
428,5.4,-0.02
429,5.4,-0.02
430,5.4,-0.02
431,5.4,-0.02
432,5.4,-0.02
433,5.4,-0.02
434,5.4,-0.02
435,5.4,-0.02
436,5.4,-0.02
437,5.4,-0.02
438,5.4,-0.02
439,5.4,-0.02
440,5.4,-0.02
441,5.4,-0.02
442,5.4,-0.02
443,5.4,-0.02
444,5.4,-0.02
445,5.4,-0.02
446,5.4,-0.02
447,5.4,-0.02
448,5.4,-0.02
449,5.4,-0.02
450,5.4,-0.02
451,5.4,-0.02
452,5.4,-0.02
453,5.4,-0.02
454,5.4,-0.02
455,5.4,-0.02
456,5.4,-0.02
457,5.4,-0.02
458,5.4,-0.02
459,5.4,-0.02
460,5.4,-0.02
461,5.4,-0.02
462,5.4,-0.02
463,5.4,-0.02
464,5.4,-0.02
465,5.4,-0.02
466,5.4,-0.02
467,5.4,-0.02
468,5.4,-0.02
469,5.4,-0.02
470,5.4,-0.02
471,5.4,-0.02
472,5.4,-0.02
473,5.4,-0.02
474,5.4,-0.02
475,5.4,-0.02
476,5.4,-0.02
477,5.4,-0.02
478,5.4,-0.02
479,5.4,-0.02
480,5.4,-0.02
481,5.4,-0.02
482,5.4,-0.02
483,5.4,-0.02
484,5.4,-0.02
485,5.4,-0.02
486,5.4,-0.02
487,5.4,-0.02
488,5.4,-0.02
489,5.4,-0.02
490,5.4,-0.02
491,5.4,-0.02
492,5.4,-0.02
493,5.4,-0.02
494,5.4,-0.02
495,5.4,-0.02
496,5.4,-0.02
497,5.4,-0.02
498,5.4,-0.02
499,5.4,-0.02
500,5.4,-0.02
501,5.4,-0.02
502,5.4,-0.02
503,5.4,-0.02
504,5.4,-0.02
505,5.4,-0.02
506,5.4,-0.02
507,5.4,-0.02
508,5.4,-0.02
509,5.4,-0.02
510,5.4,-0.02
511,5.41,-0.02
512,5.41,-0.02
513,5.41,-0.02
514,5.41,-0.02
515,5.41,-0.02
516,5.41,-0.02
517,5.41,-0.02
518,5.41,-0.02
519,5.41,-0.02
520,5.41,-0.02
521,5.41,-0.02
522,5.41,-0.02
523,5.41,-0.02
524,5.41,-0.02
525,5.41,-0.02
526,5.41,-0.02
527,5.41,-0.02
528,5.41,-0.02
529,5.41,-0.02
530,5.41,-0.02
531,5.41,-0.02
532,5.41,-0.02
533,5.41,-0.02
534,5.41,-0.02
535,5.41,-0.02
536,5.41,-0.02
537,5.41,-0.02
538,5.41,-0.02
539,5.41,-0.02
540,5.41,-0.02
541,5.41,-0.02
542,5.41,-0.02
543,5.41,-0.02
544,5.41,-0.02
545,5.41,-0.02
546,5.41,-0.02
547,5.41,-0.02
548,5.41,-0.02
549,5.41,-0.02
550,5.41,-0.02
551,5.41,-0.02
552,5.41,-0.02
553,5.41,-0.02
554,5.41,-0.02
555,5.41,-0.02
556,5.41,-0.02
557,5.41,-0.02
558,5.41,-0.02
559,5.41,-0.02
560,5.41,-0.02
561,5.41,-0.02
562,5.41,-0.02
563,5.41,-0.02
564,5.41,-0.02
565,5.41,-0.02
566,5.41,-0.02
567,5.41,-0.02
568,5.41,-0.02
569,5.41,-0.02
570,5.41,-0.02
571,5.41,-0.02
572,5.41,-0.02
573,5.41,-0.02
574,5.41,-0.02
575,5.41,-0.02
576,5.41,-0.02
577,5.41,-0.02
578,5.41,-0.02
579,5.41,-0.02
580,5.41,-0.02
581,5.41,-0.02
582,5.41,-0.02
583,5.41,-0.02
584,5.41,-0.02
585,5.41,-0.02
586,5.41,-0.02
587,5.41,-0.02
588,5.41,-0.02
589,5.41,-0.02
590,5.41,-0.02
591,5.41,-0.02
592,5.41,-0.02
593,5.41,-0.02
594,5.41,-0.02
595,5.41,-0.02
596,5.41,-0.02
597,5.41,-0.02
598,5.41,-0.02
599,5.41,-0.02
600,5.41,-0.02
601,5.41,-0.02
602,5.41,-0.02
603,5.41,-0.02
604,5.41,-0.02
605,5.41,-0.02
606,5.41,-0.02
607,5.41,-0.02
608,5.41,-0.02
609,5.41,-0.02
610,5.41,-0.02
611,5.41,-0.02
612,5.41,-0.02
613,5.41,-0.02
614,5.41,-0.02
615,5.41,-0.02
616,5.41,-0.02
617,5.41,-0.02
618,5.41,-0.02
619,5.41,-0.02
620,5.41,-0.02
621,5.41,-0.02
622,5.41,-0.02
623,5.41,-0.02
624,5.41,-0.02
625,5.41,-0.02
626,5.41,-0.02
627,5.41,-0.02
628,5.41,-0.02
629,5.41,-0.02
630,5.41,-0.02
631,5.41,-0.02
632,5.41,-0.02
633,5.41,-0.02
634,5.41,-0.02
635,5.41,-0.02
636,5.41,-0.02
637,5.41,-0.02
638,5.41,-0.02
639,5.41,-0.02
640,5.41,-0.02
641,5.41,-0.02
642,5.41,-0.02
643,5.41,-0.02
644,5.41,-0.02
645,5.41,-0.02
646,5.41,-0.02
647,5.41,-0.02
648,5.41,-0.02
649,5.41,-0.02
650,5.41,-0.02
651,5.41,-0.02
652,5.41,-0.02
653,5.41,-0.02
654,5.41,-0.02
655,5.41,-0.02
656,5.41,-0.02
657,5.41,-0.02
658,5.41,-0.02
659,5.41,-0.02
660,5.41,-0.02
661,5.41,-0.02
662,5.41,-0.02
663,5.41,-0.02
664,5.41,-0.02
665,5.41,-0.02
666,5.41,-0.02
667,5.41,-0.02
668,5.41,-0.02
669,5.41,-0.02
670,5.41,-0.02
